"tax","locations","issue_locations"
"Serpocaulon adnatum",67,NA
"Serpocaulon articulatum",14,NA
"Serpocaulon dissimile",17,NA
"Serpocaulon eleutherophlebium",35,NA
"Serpocaulon fraxinifolium",90,NA
"Serpocaulon funckii",23,NA
"Serpocaulon lasiopus",10,NA
"Serpocaulon latissimum",28,NA
"Serpocaulon levigatum",116,NA
"Serpocaulon maritimum",12,NA
"Serpocaulon nanegalense",20,NA
"Serpocaulon psychotrium",17,NA
"Serpocaulon ptilorhizon",6,NA
"Serpocaulon sessilifolium",33,NA
"Serpocaulon subandinum",32,NA
"Serpocaulon triseriale",82,NA
